iter	Logloss
0	0.6562137477
1	0.6243730787
2	0.5978805644
3	0.5757833954
4	0.5549162681
5	0.5403072436
6	0.5239727608
7	0.5094366721
8	0.498654018
9	0.4875703784
10	0.4788754666
11	0.4710161786
12	0.4646452959
13	0.4580380787
14	0.4522098797
15	0.4487193584
16	0.4440746045
17	0.4406859921
18	0.4371726753
19	0.4341555416
20	0.4316697897
21	0.4295127991
22	0.4260865455
23	0.4241664164
24	0.4228044392
25	0.4210123187
26	0.4194987235
27	0.4178256562
28	0.4165054866
29	0.4153588685
30	0.4138582513
31	0.4126400863
32	0.4115161679
33	0.4102142921
34	0.4092221655
35	0.4081637598
36	0.407154824
37	0.4063776734
38	0.4054945433
39	0.4041454484
40	0.4035142649
41	0.4024259284
42	0.4019181082
43	0.4013961606
44	0.4008373861
45	0.3999316521
46	0.3994497881
47	0.398979178
48	0.3984443961
49	0.3980851052
50	0.3976192362
51	0.3971999398
52	0.3967687428
53	0.3965618602
54	0.3960409423
55	0.3957852842
56	0.3952927169
57	0.3950981658
58	0.3944711487
59	0.3940107152
60	0.3933358804
61	0.3927444452
62	0.3923696142
63	0.3917955149
64	0.3914263349
65	0.3911349752
66	0.3909818964
67	0.3902050092
68	0.3901293677
69	0.3898570202
70	0.3894687561
71	0.388782811
72	0.3885923306
73	0.3884432506
74	0.3879903597
75	0.3876171569
76	0.3874388882
77	0.3869937315
78	0.386814098
79	0.3861853568
80	0.3858739315
81	0.3856512214
82	0.3854253506
83	0.3848418651
84	0.3846788971
85	0.3843267896
86	0.3841328851
87	0.3838023758
88	0.3835778938
89	0.3833382069
90	0.3831220098
91	0.3828436761
92	0.3827599652
93	0.3824800512
94	0.3821654411
95	0.3815617702
96	0.3809344657
97	0.3806530431
98	0.3803907524
99	0.38010229
100	0.3799911146
101	0.379254215
102	0.3782915405
103	0.3780558045
104	0.3778307478
105	0.3775626624
106	0.3771777028
107	0.3770068091
108	0.3767791425
109	0.3763857303
110	0.3762477607
111	0.3761833493
112	0.3756602524
113	0.3754343098
114	0.3751609326
115	0.3747076347
116	0.3745263011
117	0.3744372985
118	0.374186142
119	0.3739851738
120	0.3738272343
121	0.3733667529
122	0.3729292824
123	0.3723851859
124	0.3720566401
125	0.3717826403
126	0.3717372411
127	0.3714827803
128	0.3713629368
129	0.3713406203
130	0.3709151222
131	0.3706328136
132	0.3702956956
133	0.3700659936
134	0.369899434
135	0.3698425173
136	0.3695928215
137	0.3693215994
138	0.3690827984
139	0.3685217012
140	0.368223637
141	0.3680553534
142	0.3677385165
143	0.3675321607
144	0.3672359642
145	0.367171888
146	0.3669883276
147	0.3664230401
148	0.3660641323
149	0.3658468816
150	0.3657514378
151	0.3652291072
152	0.36469399
153	0.3645938531
154	0.3638849689
155	0.3636089578
156	0.3633367779
157	0.3630128055
158	0.36273871
159	0.3625357543
160	0.3617916953
161	0.3616637824
162	0.361406568
163	0.3612898134
164	0.361036909
165	0.3608121397
166	0.3603228528
167	0.3598399591
168	0.3596331962
169	0.3590779654
170	0.3586756698
171	0.3585120793
172	0.3580678803
173	0.3573217381
174	0.3572648932
175	0.3568419093
176	0.3567691412
177	0.3565760508
178	0.3563288213
179	0.3561097029
180	0.3559692431
181	0.3557736624
182	0.355337461
183	0.3548967819
184	0.3547945139
185	0.3546235963
186	0.3545388798
187	0.3543239278
188	0.3541642882
189	0.3540104192
190	0.3539644932
191	0.3536228735
192	0.3533751412
193	0.3532844864
194	0.3532661926
195	0.3527185523
196	0.3525541716
197	0.3522060869
198	0.3521139954
199	0.3517460604
200	0.3516424994
201	0.3513412027
202	0.3512121884
203	0.3509959194
204	0.3507050387
205	0.35064034
206	0.350500335
207	0.350233854
208	0.3499378969
209	0.3497209336
210	0.3496006591
211	0.3495452989
212	0.3492195545
213	0.3490167425
214	0.3487614437
215	0.3487283281
216	0.3481296137
217	0.3478082991
218	0.3475817818
219	0.3473524391
220	0.3472678423
221	0.3468451217
222	0.3465800534
223	0.3464644242
224	0.3463434554
225	0.345838748
226	0.3453699578
227	0.3452753521
228	0.3445714963
