iter	Passed	Remaining
0	25	24977
1	47	23538
2	71	23749
3	94	23471
4	118	23524
5	125	20799
6	149	21148
7	174	21596
8	196	21649
9	221	21891
10	243	21876
11	267	22025
12	290	22063
13	313	22111
14	337	22151
15	360	22141
16	382	22105
17	406	22166
18	429	22156
19	452	22180
20	474	22141
21	500	22240
22	523	22248
23	540	21993
24	564	22013
25	588	22061
26	612	22081
27	637	22133
28	661	22136
29	686	22204
30	709	22190
31	734	22227
32	746	21865
33	771	21915
34	793	21881
35	820	21974
36	843	21946
37	866	21936
38	891	21956
39	914	21951
40	940	21989
41	966	22036
42	989	22019
43	1012	21994
44	1038	22033
45	1062	22037
46	1088	22065
47	1116	22136
48	1138	22102
49	1162	22079
50	1185	22064
51	1207	22015
52	1232	22019
53	1254	21982
54	1278	21966
55	1303	21972
56	1326	21939
57	1351	21953
58	1373	21912
59	1395	21869
60	1420	21869
61	1444	21849
62	1468	21846
63	1492	21824
64	1518	21841
65	1541	21818
66	1567	21823
67	1590	21803
68	1615	21792
69	1638	21774
70	1661	21739
71	1686	21738
72	1710	21715
73	1734	21710
74	1759	21700
75	1785	21705
76	1807	21664
77	1832	21665
78	1858	21666
79	1884	21673
80	1906	21628
81	1930	21616
82	1955	21600
83	1978	21573
84	2002	21557
85	2025	21529
86	2048	21501
87	2072	21475
88	2097	21468
89	2122	21462
90	2146	21443
91	2169	21410
92	2192	21381
93	2217	21376
94	2241	21356
95	2266	21343
96	2288	21307
97	2314	21298
98	2338	21286
99	2365	21289
100	2389	21268
101	2414	21252
102	2436	21221
103	2459	21190
104	2489	21224
105	2513	21198
106	2535	21162
107	2559	21140
108	2585	21137
109	2609	21110
110	2633	21093
111	2656	21061
112	2681	21049
113	2704	21021
114	2730	21011
115	2754	20991
116	2778	20973
117	2802	20950
118	2825	20916
119	2850	20903
120	2875	20886
121	2900	20871
122	2922	20837
123	2946	20817
124	2970	20796
125	2995	20781
126	3020	20759
127	3041	20720
128	3066	20705
129	3089	20675
130	3115	20667
131	3138	20640
132	3162	20614
133	3185	20584
134	3206	20546
135	3230	20522
136	3255	20504
137	3280	20488
138	3302	20456
139	3327	20441
140	3351	20419
141	3374	20390
142	3397	20360
143	3422	20344
144	3446	20321
145	3470	20297
146	3494	20279
147	3518	20255
148	3540	20220
149	3563	20195
150	3587	20173
151	3610	20143
152	3633	20116
153	3656	20087
154	3680	20064
155	3704	20042
156	3727	20016
157	3750	19987
158	3772	19955
159	3796	19931
160	3819	19904
161	3843	19882
162	3865	19850
163	3889	19824
164	3914	19811
165	3937	19782
166	3961	19762
167	3984	19732
168	4007	19705
169	4033	19692
170	4055	19661
171	4080	19643
172	4104	19619
173	4127	19593
174	4149	19564
175	4173	19538
176	4198	19521
177	4221	19495
178	4246	19476
179	4268	19445
180	4290	19412
181	4314	19391
182	4336	19359
183	4360	19339
184	4384	19314
185	4405	19279
186	4428	19254
187	4450	19223
188	4473	19194
189	4495	19167
190	4521	19149
191	4545	19131
192	4568	19102
193	4591	19076
194	4614	19050
195	4636	19021
196	4660	18997
197	4683	18972
198	4706	18943
199	4729	18917
200	4752	18893
201	4778	18879
202	4801	18851
203	4825	18830
204	4849	18806
205	4871	18777
206	4896	18756
207	4917	18725
208	4942	18704
209	4966	18683
210	4988	18655
211	5013	18634
212	5038	18615
213	5060	18587
214	5084	18565
215	5107	18539
216	5132	18518
217	5154	18489
218	5178	18467
219	5205	18454
220	5228	18430
221	5253	18410
222	5275	18380
223	5299	18358
224	5321	18330
225	5344	18303
226	5368	18282
227	5390	18253
228	5414	18231
229	5437	18202
230	5459	18173
231	5481	18144
232	5503	18117
233	5526	18092
234	5550	18067
235	5573	18042
236	5595	18014
237	5621	17997
238	5644	17971
239	5668	17950
240	5690	17920
241	5711	17891
242	5735	17867
243	5758	17842
244	5781	17817
245	5804	17790
246	5826	17763
247	5851	17742
248	5874	17717
249	5898	17694
250	5920	17668
251	5942	17637
252	5965	17613
253	5986	17583
254	6008	17554
255	6030	17525
256	6052	17497
257	6076	17475
258	6102	17458
259	6124	17431
260	6147	17405
261	6169	17378
262	6191	17349
263	6213	17323
264	6235	17294
265	6257	17267
266	6280	17243
267	6303	17215
268	6325	17188
269	6348	17163
270	6370	17135
271	6392	17108
272	6417	17089
273	6438	17058
274	6463	17039
275	6486	17015
276	6508	16988
277	6531	16963
278	6555	16941
279	6580	16921
280	6603	16895
281	6625	16868
282	6649	16847
283	6671	16819
284	6697	16801
285	6718	16772
286	6740	16744
287	6764	16722
288	6786	16695
289	6808	16668
290	6829	16640
291	6853	16616
292	6874	16588
293	6897	16562
294	6918	16533
295	6940	16506
296	6962	16480
297	6985	16455
298	7009	16433
299	7032	16409
300	7057	16389
301	7084	16373
302	7108	16351
303	7133	16331
304	7155	16305
305	7180	16285
306	7204	16262
307	7227	16238
308	7251	16215
309	7274	16191
310	7298	16168
311	7320	16143
312	7342	16115
313	7366	16094
314	7388	16067
315	7413	16047
316	7437	16025
317	7462	16003
318	7486	15981
319	7512	15963
320	7534	15937
321	7557	15912
322	7582	15893
323	7606	15869
324	7630	15848
