iter	Logloss
0	0.6808973059
1	0.6684868124
2	0.6544456666
3	0.6431553951
4	0.632720792
5	0.625518194
6	0.6171138377
7	0.6094071207
8	0.6011880716
9	0.5910411365
10	0.5853750418
11	0.5782216537
12	0.5723704311
13	0.5653351555
14	0.5602129645
15	0.5545124346
16	0.5472843706
17	0.5426493896
18	0.5379825471
19	0.5322091494
20	0.5276527175
21	0.5240089113
22	0.5195800104
23	0.5171500528
24	0.5123028954
25	0.5090644639
26	0.5066572938
27	0.5034725819
28	0.5010507084
29	0.4983202651
30	0.4956788332
31	0.4921412893
32	0.4882611352
33	0.4850160285
34	0.4839882447
35	0.4812178859
36	0.4774370337
37	0.4736830716
38	0.4722383941
39	0.4715956962
40	0.4687622745
41	0.4650101211
42	0.4644996717
43	0.463131748
44	0.460163581
45	0.4581286951
46	0.4576287261
47	0.456114506
48	0.4552721048
49	0.4539612231
50	0.4514206945
51	0.4502303686
52	0.4472951232
53	0.4456836422
54	0.4435473118
55	0.441482899
56	0.4392719803
57	0.4367747018
58	0.4343208349
59	0.4332464638
60	0.4329437037
61	0.4302981717
62	0.4287949597
63	0.4272360003
64	0.4245926762
65	0.422835388
66	0.4212437579
67	0.4198728302
68	0.4188509867
69	0.4177764365
70	0.41634317
71	0.4151511949
72	0.4142597774
73	0.4133791479
74	0.4117266842
75	0.4092963303
76	0.4067569257
77	0.4057970143
78	0.4051425369
79	0.4032365724
80	0.4025413295
81	0.4014815206
82	0.4007251195
83	0.4000711441
84	0.3995474937
85	0.3985481001
86	0.3975638201
87	0.395926354
88	0.3948946518
89	0.3935881503
90	0.3920786094
91	0.3907980973
92	0.3897292759
93	0.3877346875
94	0.3867916448
95	0.3856594373
96	0.3840014065
97	0.3829268879
98	0.3821319959
99	0.3812613256
100	0.3801004949
101	0.379374827
102	0.3772047449
103	0.3753954948
104	0.3744726697
105	0.3727834503
106	0.3708718853
107	0.3707146711
108	0.3701676518
109	0.3681538082
110	0.3676216964
111	0.3668175218
112	0.3665257309
113	0.3663710715
114	0.3653006364
115	0.3651883488
116	0.3646345225
117	0.3637707869
118	0.3625605761
119	0.3615608375
120	0.360083532
121	0.359036626
122	0.3581396825
123	0.3580978419
124	0.3578958958
125	0.3574154842
126	0.35620396
127	0.3554956851
128	0.3546363874
129	0.353367785
130	0.3523756576
131	0.3516334579
132	0.3511260702
133	0.3506189861
134	0.3498806862
135	0.3483340013
136	0.3474804453
137	0.3471864255
138	0.3468579752
139	0.3462104154
140	0.3455740562
141	0.3446939925
142	0.3441908754
143	0.3438017391
144	0.343660084
145	0.3427898728
146	0.3415681607
147	0.3410152188
148	0.3404214715
149	0.338751704
150	0.3374877023
151	0.3371567003
152	0.3368231437
153	0.334883172
154	0.3343982004
155	0.3334982358
156	0.3334965583
157	0.3329645709
158	0.3313363511
159	0.3307815928
160	0.3295241971
161	0.3290908471
162	0.327922188
163	0.3273427457
164	0.3265169174
165	0.3257700198
166	0.3251939422
167	0.3242332166
168	0.3239227861
169	0.3228731182
170	0.3220204333
171	0.3204829937
172	0.3202606648
173	0.3196236676
174	0.3194998443
175	0.3189438844
176	0.3182564786
177	0.3176133223
178	0.3175355282
179	0.316951435
180	0.3163097149
181	0.315790443
182	0.3157880779
183	0.3144761255
184	0.3139424523
