iter	Passed	Remaining
0	4	4817
1	10	5049
2	14	4757
3	18	4561
4	22	4545
5	24	4129
6	26	3750
7	30	3771
8	33	3669
9	37	3673
10	41	3702
11	45	3713
12	49	3743
13	53	3735
14	57	3756
15	61	3775
16	65	3769
17	68	3758
18	73	3776
19	76	3767
20	81	3795
21	85	3797
22	88	3752
23	89	3655
24	93	3654
25	97	3653
26	101	3654
27	105	3670
28	109	3667
29	113	3655
30	117	3665
31	121	3679
32	125	3683
33	129	3691
34	131	3625
35	135	3615
36	139	3632
37	143	3626
38	147	3624
39	147	3548
40	151	3542
41	155	3540
42	156	3485
43	159	3458
44	163	3465
45	166	3459
46	168	3423
47	172	3422
48	173	3374
49	177	3377
50	181	3378
51	186	3395
52	190	3398
53	193	3397
54	198	3406
55	202	3407
56	205	3408
57	209	3408
58	213	3408
59	217	3408
60	218	3370
61	222	3367
62	226	3368
63	230	3369
64	233	3365
65	238	3372
66	242	3373
67	245	3370
68	248	3353
69	252	3352
70	256	3351
71	259	3348
72	263	3352
73	268	3354
74	271	3350
75	275	3346
76	280	3359
77	283	3354
78	287	3352
79	291	3355
80	296	3359
81	299	3354
82	303	3352
83	307	3350
84	311	3354
85	315	3352
86	319	3354
87	323	3348
88	326	3339
89	330	3339
90	334	3339
91	338	3341
92	343	3346
93	347	3352
94	351	3352
95	356	3353
96	359	3348
97	364	3352
98	367	3348
99	371	3346
100	376	3349
101	380	3350
102	384	3346
103	387	3342
104	391	3336
105	395	3335
106	400	3338
107	401	3319
108	405	3318
109	410	3319
110	415	3324
111	419	3324
112	423	3325
113	425	3306
114	429	3302
115	431	3286
116	435	3284
117	439	3283
118	442	3278
119	447	3279
120	450	3275
121	454	3272
122	458	3271
123	460	3254
124	464	3252
125	468	3248
126	473	3252
127	477	3251
128	481	3249
129	485	3249
130	489	3247
131	493	3243
132	497	3240
133	501	3239
134	505	3239
135	509	3236
136	513	3235
137	517	3234
138	522	3234
139	526	3231
140	530	3234
141	535	3237
142	539	3233
143	543	3230
144	548	3234
145	552	3230
146	556	3228
147	560	3226
148	564	3223
149	568	3219
150	572	3221
151	577	3222
152	582	3222
153	586	3222
154	591	3225
155	596	3225
156	597	3207
157	601	3204
158	605	3203
159	609	3200
160	613	3199
161	618	3199
162	622	3196
163	626	3193
164	630	3189
165	635	3192
166	638	3184
167	643	3184
168	647	3183
169	652	3184
170	656	3182
171	660	3181
172	664	3176
173	668	3174
174	672	3169
175	675	3164
176	679	3161
177	683	3157
178	685	3145
179	689	3141
180	693	3139
181	697	3136
182	699	3121
183	703	3120
184	707	3117
